batter,avg_total_runs,avg_strike_rate,avg_runs_vs_Chennai Super Kings,avg_runs_vs_Deccan Chargers,avg_runs_vs_Delhi Capitals,avg_runs_vs_Delhi Daredevils,avg_runs_vs_Gujarat Lions,avg_runs_vs_Gujarat Titans,avg_runs_vs_Kings XI Punjab,avg_runs_vs_Kochi Tuskers Kerala,avg_runs_vs_Kolkata Knight Riders,avg_runs_vs_Lucknow Super Giants,avg_runs_vs_Mumbai Indians,avg_runs_vs_Pune Warriors,avg_runs_vs_Punjab Kings,avg_runs_vs_Rajasthan Royals,avg_runs_vs_Rising Pune Supergiant,avg_runs_vs_Rising Pune Supergiants,avg_runs_vs_Royal Challengers Bangalore,avg_runs_vs_Royal Challengers Bengaluru,avg_runs_vs_Sunrisers Hyderabad,avg_runs_at_stadium,avg_runs_vs_team
N Pooran,24.9,137.93801794461805,24.9,0.0,31.571428571428573,0.0,0.0,14.6,0.0,0.0,21.7,34.0,25.625,0.0,25.4,20.0,0.0,0.0,20.25,40.0,34.42857142857143,28.54347222222222,26.588636363636365
N Rana,25.818181818181817,93.38331820386001,25.818181818181817,0.0,30.6,25.0,47.333333333333336,17.0,22.25,0.0,50.0,17.333333333333332,23.454545454545453,0.0,21.2,20.363636363636363,18.5,0.0,23.357142857142858,0.0,34.125,25.397965838509315,26.881083797155224
N Saini,3.5,87.5,3.5,2.5,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,0.0,0.0,2.0,0.0,0.0,32.0,0.0,0.0,16.142857142857142,13.083333333333334
N Wadhera,64.0,125.49019607843135,64.0,0.0,4.0,0.0,0.0,19.666666666666668,0.0,0.0,5.0,21.5,0.0,0.0,0.0,49.0,0.0,0.0,36.5,0.0,0.0,23.354166666666668,24.958333333333336
ND Doshi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NJ Maddinson,4.0,57.14285714285714,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,6.666666666666667
NJ Rimmington,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
NK Patel,2.0,18.181818181818183,2.0,0.0,0.0,4.0,0.0,0.0,57.0,0.0,14.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,19.8,20.166666666666668
NL McCullum,15.0,93.75,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0
NLTC Perera,23.0,176.9230769230769,23.0,22.0,0.0,6.333333333333333,3.0,0.0,18.0,0.0,14.8,0.0,7.0,10.666666666666666,0.0,8.25,0.0,0.0,24.25,0.0,17.0,14.680555555555555,14.027272727272727
